-,-,-
3, 182, 1074
39, 135, 991
84, 146, 936
90, 122, 939
90, 122, 939
62, 100, 1014
59, 82, 1003
77, 22, 961
77, 22, 961
59, -35, 962
33, -53, 985
4, -45, 1006
4, -45, 1006
-14, 184, 1005
38, 1400, 1144
307, 1997, 1770
481, 1997, 1998
643, 1997, 1326
1034, 1855, -543
1861, -1190, -1271
1237, -1998, 1792
-283, -1998, 1998
1216, -1931, -928
1078, -700, -1837
1013, -144, 281
1351, 1136, 1509
1081, 1338, 1998
1400, 1959, 1998
1587, 1997, 1944
1196, 1993, 1684
405, 753, 1320
-235, -754, 880
-515, -1061, 787
-360, -826, 939
-21, -826, 1068
-21, -313, 1068
250, 149, 899
358, 237, 858
378, 172, 1006
